Name,Tournament,Entry,Sport,Entrants,Fill%,Start Time,Max Entries,Draft Size,Rounds,Rake,Close Time
Anthony Davis,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Zion Williamson,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Brandon Ingram,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Malcolm Brogdon,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Aaron Gordon,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Deandre Ayton,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Jalen Brunson,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Lauri Markkanen,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Myles Turner,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
D'Angelo Russell,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Austin Reaves,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Jonas Valanciunas,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Julius Randle,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Lauri Markkanen,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
D'Angelo Russell,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Mikal Bridges,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Austin Reaves,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Isaiah Hartenstein,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Anthony Davis,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Paul George,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
CJ McCollum,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Anfernee Simons,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Jerami Grant,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Walker Kessler,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Kawhi Leonard,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
James Harden,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
CJ McCollum,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Collin Sexton,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Walker Kessler,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Spencer Dinwiddie,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Kawhi Leonard,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Julius Randle,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
CJ McCollum,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
D'Angelo Russell,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Michael Porter Jr.,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
Walker Kessler,Buzzer Beater,$3,NBA,1078,14.3%,NBA 6:00PM CST,50,6,6,11.1%,5:41PM CST
